Medida;Etapa_ensino;Ano;Docentes
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2010;83
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2011;78
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2012;68
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2013;63
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2014;49
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2015;39
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2016;31
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2017;45
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2018;29
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2019;20
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2020;15
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2021;26
Educação de Jovens e Adultos - Ensino Médio;Educação de Jovens e Adultos - EJA;2022;38
