Medida;Etapa_ensino;Ano;Docentes
Educação Básica;Ensino Médio;2021;271
Educação Básica;Ensino Médio;2022;278
Educação Básica;Educação Profissional;2020;12
Educação Básica;Educação Profissional;2021;16
Educação Básica;Educação Profissional;2022;15
Educação Básica;Educação de Jovens e Adultos - EJA;2007;128
Educação Básica;Educação de Jovens e Adultos - EJA;2008;115
Educação Básica;Educação de Jovens e Adultos - EJA;2009;98
Educação Básica;Educação de Jovens e Adultos - EJA;2010;110
Educação Básica;Educação de Jovens e Adultos - EJA;2011;107
Educação Básica;Educação de Jovens e Adultos - EJA;2012;91
Educação Básica;Educação de Jovens e Adultos - EJA;2013;85
Educação Básica;Educação de Jovens e Adultos - EJA;2014;68
Educação Básica;Educação de Jovens e Adultos - EJA;2015;50
Educação Básica;Educação de Jovens e Adultos - EJA;2016;45
Educação Básica;Educação de Jovens e Adultos - EJA;2017;49
Educação Básica;Educação de Jovens e Adultos - EJA;2018;36
Educação Básica;Educação de Jovens e Adultos - EJA;2019;24
Educação Básica;Educação de Jovens e Adultos - EJA;2020;19
Educação Básica;Educação de Jovens e Adultos - EJA;2021;31
Educação Básica;Educação de Jovens e Adultos - EJA;2022;52
Educação Infantil;Educação Básica;2007;77
Educação Infantil;Educação Básica;2008;81
Educação Infantil;Educação Básica;2009;98
Educação Infantil;Educação Básica;2010;153
Educação Infantil;Educação Básica;2011;185
Educação Infantil;Educação Básica;2012;198
Educação Infantil;Educação Básica;2013;230
Educação Infantil;Educação Básica;2014;236
Educação Infantil;Educação Básica;2015;235
Educação Infantil;Educação Básica;2016;264
Educação Infantil;Educação Básica;2017;278
Educação Infantil;Educação Básica;2018;269
Educação Infantil;Educação Básica;2019;256
Educação Infantil;Educação Básica;2020;245
Educação Infantil;Educação Básica;2021;237
Educação Infantil;Educação Básica;2022;274
Educação Infantil;Educação Infantil;2007;77
Educação Infantil;Educação Infantil;2008;81
Educação Infantil;Educação Infantil;2009;98
Educação Infantil;Educação Infantil;2010;153
Educação Infantil;Educação Infantil;2011;185
